param: REQUESTS: req := 
Mo0812  10 Mo1216  12 Mo1620  8 Mo2008  6 Tu0812  10 Tu1216  12 Tu1620  8 Tu2008  6
We0812  10 We1216  12 We1620  8 We2008  6 Th0812  10 Th1216  12 Th1620  8 Th2008  6
Fr0812  10 Fr1216  12 Fr1620  8 Fr2008  6 Sa0812   8 Sa1216   8 Sa1620  6 Sa2008  4
Su0812  4  Su1216  4  Su1620  4 Su2008  3
;
param: SHIFTS: cost :=
# 1: day shifts, 2 one night per week, 5: two nights per week
VVAAAAA   1
VVPAAAA   1
VAVAAAA   1
VPVAAAA   1
AVVAAAA   1
PVVAAAA   1
VVAPAAA   1
VVPPAAA   1
VAVPAAA   1
VPVPAAA   1
AVVPAAA   1
PVVPAAA   1
VVNRAAA   2
VAAVAAA   1
VPAVAAA   1
AVAVAAA   1
PVAVAAA   1
VAPVAAA   1
VPPVAAA   1
AVPVAAA   1
PVPVAAA   1
VNRVAAA   2
AAVVAAA   1
PAVVAAA   1
APVVAAA   1
PPVVAAA   1
NRVVAAA   2
VVAAPAA   1
VVPAPAA   1
VAVAPAA   1
VPVAPAA   1
AVVAPAA   1
PVVAPAA   1
VVAPPAA   1
VVPPPAA   1
VAVPPAA   1
VPVPPAA   1
AVVPPAA   1
PVVPPAA   1
VVNRPAA   2
VAAVPAA   1
VPAVPAA   1
AVAVPAA   1
PVAVPAA   1
VAPVPAA   1
VPPVPAA   1
AVPVPAA   1
PVPVPAA   1
VNRVPAA   2
AAVVPAA   1
PAVVPAA   1
APVVPAA   1
PPVVPAA   1
NRVVPAA   2
VVANRAA   2
VVPNRAA   2
VAVNRAA   2
VPVNRAA   2
AVVNRAA   2
PVVNRAA   2
VAAAVAA   1
VPAAVAA   1
AVAAVAA   1
PVAAVAA   1
VAPAVAA   1
VPPAVAA   1
AVPAVAA   1
PVPAVAA   1
VNRAVAA   2
AAVAVAA   1
PAVAVAA   1
APVAVAA   1
PPVAVAA   1
NRVAVAA   2
VAAPVAA   1
VPAPVAA   1
AVAPVAA   1
PVAPVAA   1
VAPPVAA   1
VPPPVAA   1
AVPPVAA   1
PVPPVAA   1
VNRPVAA   2
AAVPVAA   1
PAVPVAA   1
APVPVAA   1
PPVPVAA   1
NRVPVAA   2
VANRVAA   2
VPNRVAA   2
AVNRVAA   2
PVNRVAA   2
AAAVVAA   1
PAAVVAA   1
APAVVAA   1
PPAVVAA   1
NRAVVAA   2
AAPVVAA   1
PAPVVAA   1
APPVVAA   1
PPPVVAA   1
NRPVVAA   2
ANRVVAA   2
PNRVVAA   2
VVAAAPA   1
VVPAAPA   1
VAVAAPA   1
VPVAAPA   1
AVVAAPA   1
PVVAAPA   1
VVAPAPA   1
VVPPAPA   1
VAVPAPA   1
VPVPAPA   1
AVVPAPA   1
PVVPAPA   1
VVNRAPA   2
VAAVAPA   1
VPAVAPA   1
AVAVAPA   1
PVAVAPA   1
VAPVAPA   1
VPPVAPA   1
AVPVAPA   1
PVPVAPA   1
VNRVAPA   2
AAVVAPA   1
PAVVAPA   1
APVVAPA   1
PPVVAPA   1
NRVVAPA   2
VVAAPPA   1
VVPAPPA   1
VAVAPPA   1
VPVAPPA   1
AVVAPPA   1
PVVAPPA   1
VVAPPPA   1
VVPPPPA   1
VAVPPPA   1
VPVPPPA   1
AVVPPPA   1
PVVPPPA   1
VVNRPPA   2
VAAVPPA   1
VPAVPPA   1
AVAVPPA   1
PVAVPPA   1
VAPVPPA   1
VPPVPPA   1
AVPVPPA   1
PVPVPPA   1
VNRVPPA   2
AAVVPPA   1
PAVVPPA   1
APVVPPA   1
PPVVPPA   1
NRVVPPA   2
VVANRPA   2
VVPNRPA   2
VAVNRPA   2
VPVNRPA   2
AVVNRPA   2
PVVNRPA   2
VAAAVPA   1
VPAAVPA   1
AVAAVPA   1
PVAAVPA   1
VAPAVPA   1
VPPAVPA   1
AVPAVPA   1
PVPAVPA   1
VNRAVPA   2
AAVAVPA   1
PAVAVPA   1
APVAVPA   1
PPVAVPA   1
NRVAVPA   2
VAAPVPA   1
VPAPVPA   1
AVAPVPA   1
PVAPVPA   1
VAPPVPA   1
VPPPVPA   1
AVPPVPA   1
PVPPVPA   1
VNRPVPA   2
AAVPVPA   1
PAVPVPA   1
APVPVPA   1
PPVPVPA   1
NRVPVPA   2
VANRVPA   2
VPNRVPA   2
AVNRVPA   2
PVNRVPA   2
AAAVVPA   1
PAAVVPA   1
APAVVPA   1
PPAVVPA   1
NRAVVPA   2
AAPVVPA   1
PAPVVPA   1
APPVVPA   1
PPPVVPA   1
NRPVVPA   2
ANRVVPA   2
PNRVVPA   2
VVAANRA   2
VVPANRA   2
VAVANRA   2
VPVANRA   2
AVVANRA   2
PVVANRA   2
VVAPNRA   2
VVPPNRA   2
VAVPNRA   2
VPVPNRA   2
AVVPNRA   2
PVVPNRA   2
VVNRNRA   5
VAAVNRA   2
VPAVNRA   2
AVAVNRA   2
PVAVNRA   2
VAPVNRA   2
VPPVNRA   2
AVPVNRA   2
PVPVNRA   2
VNRVNRA   5
AAVVNRA   2
PAVVNRA   2
APVVNRA   2
PPVVNRA   2
NRVVNRA   5
VAAAAVA   1
VPAAAVA   1
AVAAAVA   1
PVAAAVA   1
VAPAAVA   1
VPPAAVA   1
AVPAAVA   1
PVPAAVA   1
VNRAAVA   2
AAVAAVA   1
PAVAAVA   1
APVAAVA   1
PPVAAVA   1
NRVAAVA   2
VAAPAVA   1
VPAPAVA   1
AVAPAVA   1
PVAPAVA   1
VAPPAVA   1
VPPPAVA   1
AVPPAVA   1
PVPPAVA   1
VNRPAVA   2
AAVPAVA   1
PAVPAVA   1
APVPAVA   1
PPVPAVA   1
NRVPAVA   2
VANRAVA   2
VPNRAVA   2
AVNRAVA   2
PVNRAVA   2
AAAVAVA   1
PAAVAVA   1
APAVAVA   1
PPAVAVA   1
NRAVAVA   2
AAPVAVA   1
PAPVAVA   1
APPVAVA   1
PPPVAVA   1
NRPVAVA   2
ANRVAVA   2
PNRVAVA   2
VAAAPVA   1
VPAAPVA   1
AVAAPVA   1
PVAAPVA   1
VAPAPVA   1
VPPAPVA   1
AVPAPVA   1
PVPAPVA   1
VNRAPVA   2
AAVAPVA   1
PAVAPVA   1
APVAPVA   1
PPVAPVA   1
NRVAPVA   2
VAAPPVA   1
VPAPPVA   1
AVAPPVA   1
