set INPUTS:= Nurses Beds;
set OUTPUTS:= MinorCases AcuteCases;
set UNITS := H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H13 H14 H15 H16 H17 H18 H19 H20; 

param iodata:  MinorCases AcuteCases  Nurses Beds :=
	H1	150	50	200	600
	H2	225	75	600	1200
	H3	90	10	200	200
	H4	160	40	600	300
	H5	50	50	500	200
	H6	75	75	320	150
	H7	200	50	375	450
	H8	350	100	400	320
	H9	400	90	550	480
       H10	250	300	900	660
       H11	350	350	850	720
       H12	350	400	720	940
       H13	275	375	900	850
       H14	220	40	250	370
       H15	300	10	115	250
       H16	320	275	600	590
       H17	375	230	550	710
       H18	230	50	200	280
       H19	290	90	450	410
       H20	360	70	415	575 ;
