set ASSETS := AGG	DBC	DFE	DIA	DXJ	EEM	EFA	EWG	EWH	EWI	EWT	EWU	EWW	EWY	EWZ	EZU	FEZ	FXI	GDX	GLD	IAU	IBB	ITB	IVV	IWD	IWM	IYR	KBE	KRE	LQD	OIL	SDS	SH	SLV	SPY	USO	VGK	VNQ	VTI	VWO	XHB	XLB	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XME	XOP;

#data generated by ampl returns.run on file returns.dat

param r  :=
AGG  2.3422e-05    EWY  0.000278682   IYR  0.000203652   VWO  0.000138547
DBC -8.29694e-05   EWZ  0.000190552   KBE  0.000194125   XHB  0.000219532
DFE  3.93013e-05   EZU  1.58793e-06   KRE  0.00026836    XLB  0.000290195
DIA  0.000233426   FEZ -2.50099e-05   LQD  5.31957e-05   XLE  0.000295355
DXJ  6.9869e-05    FXI  0.000272727   OIL -0.000439857   XLF  7.82056e-05
EEM  0.000182612   GDX  0.00016316    SDS -0.000736403   XLI  0.000341802
EFA  2.97737e-05   GLD  0.000307265    SH  2.77888e-06   XLK  0.000369591
EWG  0.000152044   IAU  0.000309647   SLV  0.000315204   XLP  0.000296943
EWH  0.000259627   IBB  0.000622072   SPY  0.000274712   XLU  0.000160778
EWI  0.000188567   ITB  0.000144105   USO -0.000342596   XLV  0.000350536
EWT  0.000583168   IVV  0.000256451   VGK  5.95474e-06   XLY  0.000412068
EWU -2.54069e-05   IWD  0.000213974   VNQ  0.000278682   XME  0.000234617
EWW  0.00011314    IWM  0.000361254   VTI  0.000290592   XOP  0.000377134
;

param Q [*,*]
:         AGG            DBC            DFE            DIA            DXJ    :=
AGG    1.14607e-05   -1.99647e-06   -3.58687e-06   -5.04914e-06   -3.56813e-06
DBC   -1.99647e-06    0.000167994    9.52069e-05    6.573e-05      7.31499e-05
DFE   -3.58687e-06    9.52069e-05    0.000240979    0.000136476    0.000138092
DIA   -5.04914e-06    6.573e-05      0.000136476    0.000150001    0.000127291
DXJ   -3.56813e-06    7.31499e-05    0.000138092    0.000127291    0.000236857
EEM   -7.96895e-06    0.000138258    0.000240632    0.000222521    0.000205307
EFA   -4.06699e-06    0.000105163    0.000204987    0.000175019    0.000179657
EWG   -5.99602e-06    0.000115348    0.000231467    0.000189938    0.000182988
EWH   -7.8584e-06     9.1299e-05     0.00017723     0.000170088    0.000163931
EWI   -6.77337e-06    0.000126869    0.000261691    0.000199166    0.000201912
EWT   -6.84256e-06    8.85502e-05    0.000185841    0.000163249    0.000158459
EWU   -4.86205e-06    0.000110817    0.000209053    0.000176784    0.000168155
EWW   -3.52071e-06    0.000118965    0.000206588    0.000183854    0.000173982
EWY   -8.18239e-06    0.000121351    0.000235203    0.000210023    0.000194196
EWZ   -2.45782e-06    0.000178085    0.000263241    0.000226376    0.000214375
EZU   -6.06514e-06    0.000120238    0.00024303     0.000194931    0.000189209
FEZ   -5.79814e-06    0.000124056    0.000244884    0.000201069    0.000199204
FXI   -1.16817e-05    0.000127985    0.000242941    0.00022689     0.000218958
GDX    8.96124e-06    0.000172277    0.000146423    9.5979e-05     8.93828e-05
GLD    5.77089e-06    6.35388e-05    2.47474e-05    2.78377e-06    3.46563e-06
IAU    6.14995e-06    6.30547e-05    2.42443e-05    1.77369e-06    3.19194e-06
IBB   -4.29405e-06    5.65308e-05    0.000128698    0.000128997    0.000126801
ITB   -8.90731e-06    8.69941e-05    0.000209431    0.000206544    0.000174442
IVV   -6.25849e-06    7.46537e-05    0.000150136    0.000153263    0.000135876
IWD   -5.44288e-06    8.15342e-05    0.000159869    0.000162405    0.000143563
IWM   -9.76908e-06    8.74686e-05    0.000178916    0.000175211    0.000157296
IYR   -8.82295e-06    8.65171e-05    0.00018764     0.00020354     0.000164016
KBE   -1.38116e-05    9.71602e-05    0.000223892    0.00022786     0.000198111
KRE   -1.37328e-05    8.27142e-05    0.000193895    0.000206954    0.000180255
LQD    1.09178e-05    5.83411e-06    1.0639e-05     5.91692e-06    7.26901e-06
OIL   -6.33865e-06    0.000256663    0.000154423    0.000110693    0.000116781
SDS    1.12725e-05   -0.00014981    -0.000288301   -0.000296239   -0.000274058
SH     7.05472e-06   -7.54674e-05   -0.000145878   -0.000153333   -0.000144901
SLV    8.69687e-06    0.00014054     9.37637e-05    5.09181e-05    6.27842e-05
SPY   -5.16086e-06    7.76623e-05    0.000152095    0.000156966    0.000140188
USO   -6.89035e-06    0.000249744    0.000150671    0.000109968    0.000115051
VGK   -5.20022e-06    0.000115361    0.000227153    0.0001837      0.000177922
VNQ   -7.33007e-06    7.52157e-05    0.000168736    0.00017271     0.000146564
VTI   -5.3502e-06     7.87176e-05    0.00015378     0.000156436    0.000139999
VWO   -9.61738e-06    0.000108801    0.000195057    0.00015912     0.000156262
XHB   -7.78839e-06    7.73267e-05    0.000195132    0.000194019    0.00016442
XLB   -5.59433e-06    0.000117503    0.000186324    0.000170532    0.000157755
XLE   -5.79413e-06    0.000164443    0.000201148    0.00018943     0.000174491
XLF   -1.28014e-05    9.59938e-05    0.00022025     0.000228551    0.000194312
XLI   -6.4431e-06     7.85687e-05    0.00016008     0.000160374    0.000143012
XLK   -6.4898e-06     6.74642e-05    0.000142012    0.000148588    0.000132804
XLP   -3.53693e-06    3.26689e-05    8.3211e-05     8.92685e-05    7.83727e-05
XLU    1.48294e-06    4.79073e-05    9.88468e-05    0.000104862    8.86533e-05
XLV   -2.22536e-06    4.06647e-05    0.000101814    0.000110152    0.000102315
