set INPUTS:=
Doctors  # per 100k
beds     # beds per 100K ab
;
set OUTPUTS :=
HomeAss  # home assistance cases per 100K ab
Patients # per doctor
recipes  # recipes issued per 1000 ab
;

set UNITS := U01 U02 U03 U04 U05 U06 U07 U08 U09 U10
U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 ;

param iodata:
       Doctors Patients HomeAss beds  recipes:=	
U01	72	1227	778	806	99
U02	73	1202	170	141	88
U03	66	1322	924	840	81
U04	54	1565	145	833	61
U05	68	1262	971	988	82
U06	67	1299	1418	902	83
U07	77	1139	2175	799	87
U08	77	1157	1171	569	104
U09	70	1252	2828	651	96
U10	75	1169	2812	486	103
U11	83	1053	1222	474	12
U12	76	1152	850	333	11
U13	81	1071	1101	189	109
U14	84	1047	1371	210	119
U15	86	1032	960	80	105
U16	75	1135	634	68	10
U17	80	1091	565	228	111
U18	87	1015	157	98	112
U19	82	1065	692	173	119
U20	82	1054	951	82	114
U21	78	1142	714	113	114
;

